model,weight,training.cr,site.select.regr.meth,site.select.cr,age.transform
1,none,2,glmnet,2,none
2,none,3,glmnet,2,none
3,none,4,glmnet,2,none
4,ci.wt,2,glmnet,2,none
5,ci.wt,3,glmnet,2,none
6,ci.wt,4,glmnet,2,none
7,CR,2,glmnet,2,none
8,CR,3,glmnet,2,none
9,CR,4,glmnet,2,none
10,none,2,glmnet,3,none
11,none,3,glmnet,3,none
12,none,4,glmnet,3,none
13,ci.wt,2,glmnet,3,none
14,ci.wt,3,glmnet,3,none
15,ci.wt,4,glmnet,3,none
16,CR,2,glmnet,3,none
17,CR,3,glmnet,3,none
18,CR,4,glmnet,3,none
19,none,2,glmnet,4,none
20,none,3,glmnet,4,none
21,none,4,glmnet,4,none
22,ci.wt,2,glmnet,4,none
23,ci.wt,3,glmnet,4,none
24,ci.wt,4,glmnet,4,none
25,CR,2,glmnet,4,none
26,CR,3,glmnet,4,none
27,CR,4,glmnet,4,none
28,none,2,Allsites,none,none
29,none,3,Allsites,none,none
30,none,4,Allsites,none,none
31,ci.wt,2,Allsites,none,none
32,ci.wt,3,Allsites,none,none
33,ci.wt,4,Allsites,none,none
34,CR,2,Allsites,none,none
35,CR,3,Allsites,none,none
36,CR,4,Allsites,none,none
37,none,2,RFsites,2,none
38,none,3,RFsites,2,none
39,none,4,RFsites,2,none
40,ci.wt,2,RFsites,2,none
41,ci.wt,3,RFsites,2,none
42,ci.wt,4,RFsites,2,none
43,CR,2,RFsites,2,none
44,CR,3,RFsites,2,none
45,CR,4,RFsites,2,none
46,none,2,RFsites,3,none
47,none,3,RFsites,3,none
48,none,4,RFsites,3,none
49,ci.wt,2,RFsites,3,none
50,ci.wt,3,RFsites,3,none
51,ci.wt,4,RFsites,3,none
52,CR,2,RFsites,3,none
53,CR,3,RFsites,3,none
54,CR,4,RFsites,3,none
55,none,2,RFsites,4,none
56,none,3,RFsites,4,none
57,none,4,RFsites,4,none
58,ci.wt,2,RFsites,4,none
59,ci.wt,3,RFsites,4,none
60,ci.wt,4,RFsites,4,none
61,CR,2,RFsites,4,none
62,CR,3,RFsites,4,none
63,CR,4,RFsites,4,none