"model","method","sites","weight","minCR","site.select.cr","age.transform","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
1,"gam","glmnet","none","minCR2","cr2","none",4.79,2.54,7.31,0.71,-1.11,4.33,4.32,9.63,1.08,1.36,-9.49
1,"glmnet","glmnet","none","minCR2","cr2","none",4.48,2.11,6.68,0.75,-0.88,2.95,4.43,9.63,1.52,1.57,-9.49
1,"rf","glmnet","none","minCR2","cr2","none",3.58,1.09,7.28,0.76,-0.5,1.18,2.78,8.71,3.27,0.89,-8.68
1,"svm","glmnet","none","minCR2","cr2","none",3.13,1.74,6.91,0.81,-1.07,1.53,3.13,8.27,2.13,0.48,-8.79
2,"gam","glmnet","none","minCR3","cr2","none",4.32,1.74,6.44,0.75,-0.48,2.21,4.57,10.14,2.03,1.76,-8.79
2,"glmnet","glmnet","none","minCR3","cr2","none",4.38,2.14,6.91,0.76,-0.42,2.98,4.42,8.15,1.37,2.11,-8.38
2,"rf","glmnet","none","minCR3","cr2","none",3.5,1.06,7.2,0.77,-0.05,1.49,3.59,7.55,3.31,1.31,-7.6
2,"svm","glmnet","none","minCR3","cr2","none",3.19,1.41,6.79,0.8,-0.59,1.54,3.61,7.62,1.89,1.2,-7.87
3,"gam","glmnet","none","minCR4","cr2","none",4.73,2.26,7.32,0.73,0.08,3.18,4.36,9.11,2.78,2.38,-8.59
3,"glmnet","glmnet","none","minCR4","cr2","none",3.89,2.04,6.65,0.74,0,2.59,3.89,10.47,2.51,2.38,-8.62
3,"rf","glmnet","none","minCR4","cr2","none",3.77,2.15,7.28,0.75,0.13,2.35,3.64,8.24,4.15,1.41,-8.15
3,"svm","glmnet","none","minCR4","cr2","none",3.23,1.31,6.92,0.81,-0.24,1.46,3.47,7.8,2.66,1.45,-7.88
4,"gam","glmnet","ci.wt","minCR2","cr2","none",4.35,1.8,7.12,0.75,-0.79,1.76,3.76,9.46,1.84,1.5,-9.38
4,"glmnet","glmnet","ci.wt","minCR2","cr2","none",4.11,1.78,6.68,0.77,-0.8,2.06,4.32,9.29,1.6,1.57,-9.26
4,"rf","glmnet","ci.wt","minCR2","cr2","none",3.23,1.16,6.47,0.78,-0.31,1.22,2.98,7.79,3.01,1.14,-8.02
4,"svm","glmnet","ci.wt","minCR2","cr2","none",3.36,1.51,6.53,0.82,-0.78,2.26,3.36,7.64,2.1,0.64,-7.79
5,"gam","glmnet","ci.wt","minCR3","cr2","none",4.05,1.89,6.8,0.76,-0.37,2.04,4,9.78,2.23,1.82,-8.69
5,"glmnet","glmnet","ci.wt","minCR3","cr2","none",3.84,1.57,6.62,0.77,-0.49,2.81,4.43,7.55,1.5,1.9,-8.42
5,"rf","glmnet","ci.wt","minCR3","cr2","none",3.3,1.09,6.59,0.78,0.03,1.35,3.23,7.47,3.12,1.44,-7.28
5,"svm","glmnet","ci.wt","minCR3","cr2","none",2.88,1.32,5.98,0.83,-0.25,2.26,3.12,6.62,2.13,1.07,-6.39
6,"gam","glmnet","ci.wt","minCR4","cr2","none",4.53,2.3,7.19,0.73,-0.11,3,4.07,9.19,2.79,2.04,-8.74
6,"glmnet","glmnet","ci.wt","minCR4","cr2","none",3.72,1.97,6.51,0.76,-0.03,3,3.72,8.25,2.61,2.1,-8.29
6,"rf","glmnet","ci.wt","minCR4","cr2","none",3.4,2.28,6.65,0.77,0,2.54,3.35,7.34,3.77,1.31,-8.02
6,"svm","glmnet","ci.wt","minCR4","cr2","none",3.24,1.84,5.85,0.8,-0.1,2.33,3.34,5.99,2.86,1.29,-7.18
7,"gam","glmnet","CR","minCR2","cr2","none",4.34,2.11,6.37,0.75,-0.98,4.23,3.58,10.09,0.98,1.48,-9.03
7,"glmnet","glmnet","CR","minCR2","cr2","none",4.5,1.61,5.6,0.79,-0.8,1.67,4.3,8.55,1.98,1.34,-9.28
7,"rf","glmnet","CR","minCR2","cr2","none",3.07,1.35,6.19,0.8,-0.34,1.27,2.65,6.25,3.26,0.66,-7.43
7,"svm","glmnet","CR","minCR2","cr2","none",3.82,1.77,6.49,0.81,-1.14,1.77,3.77,7.27,1.67,0.37,-8.29
8,"gam","glmnet","CR","minCR3","cr2","none",4.71,2.1,7.78,0.73,-0.76,4,3.75,11.08,1.41,1.79,-9.29
8,"glmnet","glmnet","CR","minCR3","cr2","none",4.52,2.2,6.38,0.78,-0.56,2.84,4.52,8.65,1.58,1.79,-8.6
8,"rf","glmnet","CR","minCR3","cr2","none",3.14,1.41,6.29,0.8,-0.1,1.33,2.85,6.84,3.34,0.81,-6.81
8,"svm","glmnet","CR","minCR3","cr2","none",3.7,1.88,5.74,0.82,-0.37,1.93,3.86,7.07,2.44,0.92,-7
9,"gam","glmnet","CR","minCR4","cr2","none",3.69,1.72,7.22,0.77,-0.18,3.14,2.72,7.51,1.95,2.18,-8.2
9,"glmnet","glmnet","CR","minCR4","cr2","none",4.56,1.97,7.96,0.74,-0.18,4,3.69,9.51,2.55,2.08,-8.81
9,"rf","glmnet","CR","minCR4","cr2","none",3.49,2.07,6.66,0.79,-0.07,2.29,3.34,6.94,3.78,1.06,-7.77
9,"svm","glmnet","CR","minCR4","cr2","none",2.28,1.39,5.66,0.84,-0.2,1.37,2.28,6.45,2.12,1.46,-6.97
10,"gam","glmnet","none","minCR2","cr3","none",3.67,1.95,6.29,0.76,-1.12,3.77,2.44,6.81,1,0.8,-8.23
10,"glmnet","glmnet","none","minCR2","cr3","none",3.55,1.84,6.92,0.8,-1.36,2.67,2.95,9.08,0.27,1.31,-9.4
10,"rf","glmnet","none","minCR2","cr3","none",3.3,1.35,7.04,0.8,-0.41,1.52,2.53,8.14,3.53,0.75,-8.32
10,"svm","glmnet","none","minCR2","cr3","none",3.05,1.26,6.19,0.83,-0.82,2.65,2.29,7,2.66,0.03,-7.41
11,"gam","glmnet","none","minCR3","cr3","none",3.84,1.68,6.09,0.79,-0.62,4,3.57,5.83,1.8,0.31,-5.95
11,"glmnet","glmnet","none","minCR3","cr3","none",2.85,1.42,5.66,0.85,-0.51,2.35,2.74,6.68,1.08,1.34,-6.71
11,"rf","glmnet","none","minCR3","cr3","none",3.39,1.38,6.66,0.8,-0.1,1.44,2.94,7.06,3.47,1.02,-7.44
11,"svm","glmnet","none","minCR3","cr3","none",3.06,1.35,5.32,0.85,-0.37,2.86,2.61,7.19,1.96,0.83,-6.15
12,"gam","glmnet","none","minCR4","cr3","none",6.61,3.25,8.45,0.67,0.02,6.27,6.61,7.41,2.57,1.88,-7.52
12,"glmnet","glmnet","none","minCR4","cr3","none",3.15,1.63,5.29,0.87,0.02,3,2.85,4.36,1.7,1.47,-5.41
12,"rf","glmnet","none","minCR4","cr3","none",3.62,2.17,7.09,0.78,-0.05,2.77,3.37,7.95,4.05,1.25,-8.46
12,"svm","glmnet","none","minCR4","cr3","none",2.64,1.62,4.68,0.88,-0.04,2.3,2.74,6.84,1.86,1.28,-5.5
13,"gam","glmnet","ci.wt","minCR2","cr3","none",3.83,1.7,6.35,0.79,-0.98,3.89,2.71,9.67,0.62,1.09,-7.67
13,"glmnet","glmnet","ci.wt","minCR2","cr3","none",2.92,1.44,6.17,0.83,-0.94,2.15,2.23,8.83,1.91,1.07,-9.22
13,"rf","glmnet","ci.wt","minCR2","cr3","none",3.29,1.27,7.24,0.8,-0.37,1.54,2.51,7.68,3.47,0.75,-8.06
13,"svm","glmnet","ci.wt","minCR2","cr3","none",2.95,1.25,5.38,0.85,-0.49,2.37,2.13,6.47,2.73,0.3,-6.59
14,"gam","glmnet","ci.wt","minCR3","cr3","none",3.31,1.5,5.41,0.85,-0.43,3.05,2.96,5.28,1.63,0.41,-5.07
14,"glmnet","glmnet","ci.wt","minCR3","cr3","none",2.37,1.13,5.19,0.86,-0.6,2.13,1.82,6.05,1.21,0.93,-6.4
14,"rf","glmnet","ci.wt","minCR3","cr3","none",3.12,1.33,6.55,0.8,-0.19,1.59,2.98,6.95,3.43,0.9,-7.5
14,"svm","glmnet","ci.wt","minCR3","cr3","none",2.69,1.22,5.23,0.86,-0.19,1.94,2.38,6.52,1.92,1.03,-5.74
15,"gam","glmnet","ci.wt","minCR4","cr3","none",4.63,2.91,7.09,0.76,-0.61,3.79,5.05,6.39,1.73,0.12,-5.4
15,"glmnet","glmnet","ci.wt","minCR4","cr3","none",3.53,1.93,5.18,0.86,-0.08,3.02,2.86,5.33,2.25,1.17,-5.97
15,"rf","glmnet","ci.wt","minCR4","cr3","none",3.71,2.01,6.71,0.77,-0.16,2.63,3.1,8.2,3.96,1.08,-8.45
15,"svm","glmnet","ci.wt","minCR4","cr3","none",3.67,0.99,6.09,0.86,0.26,3.34,3.4,6.6,2.15,1.5,-4.99
16,"gam","glmnet","CR","minCR2","cr3","none",4.57,1.84,6.96,0.77,-1.21,1.97,3.93,8.17,0.29,1.16,-8.44
16,"glmnet","glmnet","CR","minCR2","cr3","none",3.21,1.71,5.72,0.83,-1.12,2.48,2.43,7.24,0.55,1.15,-8.35
16,"rf","glmnet","CR","minCR2","cr3","none",3.48,1.23,7.17,0.79,-0.39,1.81,2.78,7.52,3.49,0.78,-8.24
16,"svm","glmnet","CR","minCR2","cr3","none",3.06,1.86,4.96,0.84,-0.48,2.55,2.6,5.88,2.87,0.13,-6.37
17,"gam","glmnet","CR","minCR3","cr3","none",3.76,2.17,6.01,0.84,-0.66,3.86,3.26,7.11,0.55,0.76,-5.39
17,"glmnet","glmnet","CR","minCR3","cr3","none",2.43,1.12,5.48,0.86,-0.56,2.14,1.68,5.9,1.08,0.98,-6.17
17,"rf","glmnet","CR","minCR3","cr3","none",3.68,1.4,6.54,0.79,-0.22,1.97,3.16,7.57,3.45,0.91,-7.68
17,"svm","glmnet","CR","minCR3","cr3","none",3.44,1.15,5.56,0.86,-0.27,2.66,2.68,5.82,2.14,0.6,-5.44
18,"gam","glmnet","CR","minCR4","cr3","none",2.83,2.24,5.07,0.87,-0.24,2.75,2.87,2.77,0.68,0.28,-2.63
18,"glmnet","glmnet","CR","minCR4","cr3","none",3.45,1.8,4.88,0.87,-0.08,3,2.82,4.89,2.06,1.07,-5.49
18,"rf","glmnet","CR","minCR4","cr3","none",3.65,1.94,6.81,0.77,-0.28,2.52,3.14,8.96,3.91,0.95,-8.66
18,"svm","glmnet","CR","minCR4","cr3","none",2.39,1.43,4.46,0.9,-0.04,2.18,1.95,5.3,1.28,1.14,-4.41
19,"gam","glmnet","none","minCR2","cr4","none",5.9,3.57,8.98,0.65,-1.86,6,5.49,8.91,-0.13,-0.49,-7.2
19,"glmnet","glmnet","none","minCR2","cr4","none",3.9,1.83,6.88,0.79,-1.26,2.89,2.92,8.93,1.1,1.21,-9.86
19,"rf","glmnet","none","minCR2","cr4","none",3.62,1.96,6.47,0.77,-0.15,2.6,3.12,8.36,4.29,1.14,-9.05
19,"svm","glmnet","none","minCR2","cr4","none",2.9,1.57,4.9,0.86,-0.66,2.13,2.79,6.2,2.09,0.31,-6.51
20,"gam","glmnet","none","minCR3","cr4","none",5.13,2.14,8.16,0.74,-1.64,4,5.28,9.3,-1.15,0.17,-6.23
20,"glmnet","glmnet","none","minCR3","cr4","none",2.99,1.29,5.54,0.84,-0.58,2.51,2.23,6.69,1.15,1.15,-6.72
20,"rf","glmnet","none","minCR3","cr4","none",3.52,1.77,6.77,0.78,0.1,2.62,2.64,7.04,4.08,1.43,-8.22
20,"svm","glmnet","none","minCR3","cr4","none",2.64,1.49,5.19,0.88,-0.53,1.93,2.64,5.41,1.58,0.63,-5.94
21,"gam","glmnet","none","minCR4","cr4","none",4.5,1.94,7.21,0.83,0.42,3,3.12,7.58,0.97,1.5,-2.71
21,"glmnet","glmnet","none","minCR4","cr4","none",2.25,1.03,5.01,0.91,0.03,1.34,1.85,4.12,1.54,0.64,-3.38
21,"rf","glmnet","none","minCR4","cr4","none",3.72,2.48,6.56,0.75,-0.17,3.16,2.6,8.02,4.29,1.4,-9.69
21,"svm","glmnet","none","minCR4","cr4","none",1.7,0.88,3.28,0.93,0.11,1.44,1.5,3,1.65,0.86,-3.62
22,"gam","glmnet","ci.wt","minCR2","cr4","none",5.17,2.77,8.92,0.6,-1.89,5,4.65,11.44,-0.44,0.77,-9.68
22,"glmnet","glmnet","ci.wt","minCR2","cr4","none",3.12,1.62,6.5,0.83,-1.05,3.05,2,7.82,1.34,0.93,-8.62
22,"rf","glmnet","ci.wt","minCR2","cr4","none",3.74,1.95,6.89,0.77,-0.22,2.41,3.51,8.1,4.15,1.07,-8.99
22,"svm","glmnet","ci.wt","minCR2","cr4","none",3.2,1.85,5.26,0.85,-0.46,2.55,2.87,5.96,3.07,0.26,-6.84
23,"gam","glmnet","ci.wt","minCR3","cr4","none",4.13,1.4,7.26,0.76,-1.38,4,4.05,5.14,-1.33,0.17,-4.81
23,"glmnet","glmnet","ci.wt","minCR3","cr4","none",3.02,1.25,5.23,0.86,-0.52,2.45,2.09,5.41,1.09,1.09,-6.22
23,"rf","glmnet","ci.wt","minCR3","cr4","none",3.67,1.84,6.8,0.77,-0.04,2.5,3,7.45,4.06,1.26,-8.49
23,"svm","glmnet","ci.wt","minCR3","cr4","none",2.65,1.52,5.29,0.87,-0.57,1.62,2.57,6.1,1.81,0.56,-6.26
24,"gam","glmnet","ci.wt","minCR4","cr4","none",4.89,2.99,7.75,0.8,0.57,4.56,4.86,7.53,0.54,2.22,-2.99
24,"glmnet","glmnet","ci.wt","minCR4","cr4","none",2.13,1.02,4.82,0.9,0.13,1.52,1.87,4.12,2,0.58,-3.39
24,"rf","glmnet","ci.wt","minCR4","cr4","none",3.86,2.22,6.77,0.76,-0.25,3.22,2.85,8.3,4.34,1.2,-9.68
24,"svm","glmnet","ci.wt","minCR4","cr4","none",2.08,0.82,3.21,0.93,0.07,1.38,1.95,3.21,1.57,0.93,-3.84
25,"gam","glmnet","CR","minCR2","cr4","none",3.78,2.28,6.45,0.79,-0.65,3.73,3.64,5.56,0.83,0.91,-6.06
25,"glmnet","glmnet","CR","minCR2","cr4","none",4.52,2.43,6.23,0.75,-0.88,3.31,4.52,8.68,1.98,1.22,-9.33
25,"rf","glmnet","CR","minCR2","cr4","none",3.89,1.6,6.51,0.78,-0.37,1.81,3.61,6.93,3.6,0.79,-8.31
25,"svm","glmnet","CR","minCR2","cr4","none",3.78,2.45,6.14,0.84,-0.51,3.73,3.42,6.74,2.39,0.23,-6.07
26,"gam","glmnet","CR","minCR3","cr4","none",3.18,1.95,6.29,0.86,-0.26,2.35,4.32,4.88,1.42,0.29,-3.78
26,"glmnet","glmnet","CR","minCR3","cr4","none",3.62,2.02,5.79,0.84,-0.42,2.04,3.82,6.87,1.43,1.08,-6.21
26,"rf","glmnet","CR","minCR3","cr4","none",4.16,1.54,5.77,0.79,-0.16,1.91,3.68,6.73,3.5,0.95,-7.59
26,"svm","glmnet","CR","minCR3","cr4","none",3.4,1.92,6.14,0.84,-0.5,2.3,3.33,6.37,2.01,0.41,-5.89
27,"gam","glmnet","CR","minCR4","cr4","none",7.25,3.01,9.45,0.64,0.95,5.66,7.43,7.42,4.59,0.7,-3.47
27,"glmnet","glmnet","CR","minCR4","cr4","none",3.6,2.29,5.77,0.84,-0.01,3.01,4.28,4.2,2.26,0.84,-4.97
27,"rf","glmnet","CR","minCR4","cr4","none",3.87,2.06,6.58,0.76,-0.39,2.63,3.84,8.88,4,0.82,-9.02
27,"svm","glmnet","CR","minCR4","cr4","none",3.57,1.48,5.56,0.86,-0.08,1.57,4.2,6.33,2.18,0.8,-5.09
28,"glmnet","Allsites","none","minCR2","crnone","none",4.33,3.04,6.8,0.71,-0.74,4.29,3.34,11.87,4.57,0.99,-11.75
28,"rf","Allsites","none","minCR2","crnone","none",3.94,1.73,6.89,0.74,-0.25,3.57,2.78,10.11,4.99,0.85,-9.78
28,"svm","Allsites","none","minCR2","crnone","none",3.61,1.91,7.52,0.75,-0.6,3.95,2.18,10.06,4.69,0.37,-9.94
29,"glmnet","Allsites","none","minCR3","crnone","none",4.48,1.91,6.88,0.74,-0.2,2.35,3.17,9.81,3.93,1.48,-9.51
29,"rf","Allsites","none","minCR3","crnone","none",3.92,1.38,7.13,0.75,-0.04,3.04,2.46,9.06,4.71,1.16,-9.13
29,"svm","Allsites","none","minCR3","crnone","none",3.17,1.52,6.87,0.76,-0.82,2.47,2.41,10.05,3.45,0.65,-9.83
30,"glmnet","Allsites","none","minCR4","crnone","none",5.04,1.91,7.5,0.69,-0.13,3.94,3.91,9.62,4.26,1.35,-9.35
30,"rf","Allsites","none","minCR4","crnone","none",3.98,2.26,7.37,0.75,-0.07,3.65,2.54,9.28,4.9,1.19,-9.6
30,"svm","Allsites","none","minCR4","crnone","none",3.09,1.84,6.04,0.78,-0.08,3.09,2.28,8.76,3.44,1.39,-8.09
31,"glmnet","Allsites","ci.wt","minCR2","crnone","none",4.39,2.5,7.4,0.7,-0.7,3.99,3.24,11.26,4.41,1.08,-11.54
31,"rf","Allsites","ci.wt","minCR2","crnone","none",3.92,1.93,6.65,0.75,-0.31,3.6,3,9.96,4.95,0.77,-9.83
32,"glmnet","Allsites","ci.wt","minCR3","crnone","none",4.27,1.93,6.84,0.74,-0.43,2.51,3.44,10.27,3.73,1.27,-9.8
32,"rf","Allsites","ci.wt","minCR3","crnone","none",3.97,1.45,7.62,0.74,-0.19,2.74,2.28,9.16,4.45,1.13,-9.4
33,"glmnet","Allsites","ci.wt","minCR4","crnone","none",5.56,2.89,8.87,0.62,0.26,3.43,4.31,10.31,4.89,2,-9.85
33,"rf","Allsites","ci.wt","minCR4","crnone","none",3.86,2.2,7.39,0.75,-0.23,3.41,2.86,9.74,4.63,0.97,-9.48
34,"glmnet","Allsites","CR","minCR2","crnone","none",4.38,2.47,7.6,0.71,-0.64,4.01,3.04,11.32,4.28,1.25,-11.49
34,"rf","Allsites","CR","minCR2","crnone","none",3.74,1.61,6.81,0.75,-0.35,2.97,2.49,9.61,4.57,0.85,-9.66
35,"glmnet","Allsites","CR","minCR3","crnone","none",3.98,1.96,7.37,0.71,-0.45,2.71,3.53,9.82,3.45,1.57,-10.19
35,"rf","Allsites","CR","minCR3","crnone","none",4.09,1.55,7.17,0.75,-0.2,2.81,2.45,8.8,4.42,1.07,-9.28
36,"glmnet","Allsites","CR","minCR4","crnone","none",5.23,2.61,9.5,0.58,-0.01,3.57,4.7,10.28,4.82,1.65,-10.23
36,"rf","Allsites","CR","minCR4","crnone","none",3.89,2.23,7.3,0.75,-0.27,3.55,2.81,9.8,4.66,0.96,-9.67
37,"gam","RFsites","none","minCR2","cr2","none",4.53,2.29,7.15,0.68,-0.23,4,3.62,7.92,3.14,1.27,-8.1
37,"glmnet","RFsites","none","minCR2","cr2","none",3.93,2.24,7.21,0.77,-1.03,3.06,3.71,9.25,1.53,1.2,-9.37
37,"rf","RFsites","none","minCR2","cr2","none",3.72,1.27,6.23,0.78,-0.4,1.72,2.59,6.25,3.53,0.65,-8.02
37,"svm","RFsites","none","minCR2","cr2","none",3.82,1.58,6,0.81,-0.96,2.76,4.06,8.14,2.54,0.1,-8.04
38,"gam","RFsites","none","minCR3","cr2","none",4.07,1.66,7.11,0.7,-0.02,5,2.29,8.47,3.45,1.44,-7.92
38,"glmnet","RFsites","none","minCR3","cr2","none",4.39,1.64,7.42,0.74,-0.57,3.74,3.53,8.65,1.81,1.71,-8.77
38,"rf","RFsites","none","minCR3","cr2","none",3.13,1.54,6.1,0.78,-0.15,1.71,2.86,6.31,3.52,0.83,-7.3
38,"svm","RFsites","none","minCR3","cr2","none",3.55,1.15,6.06,0.82,-0.4,2.54,3.69,7.7,2.94,0.7,-7.37
39,"gam","RFsites","none","minCR4","cr2","none",4,1.89,7.07,0.74,0.41,4.73,3.2,7.19,2.68,1.98,-6.09
39,"glmnet","RFsites","none","minCR4","cr2","none",4.61,1.93,7.72,0.75,0.15,4,2.65,7.88,2.94,2.32,-8.4
39,"rf","RFsites","none","minCR4","cr2","none",3.78,2.23,7.01,0.74,0.04,2.36,3.46,7.09,4.33,1.26,-8.48
39,"svm","RFsites","none","minCR4","cr2","none",3.36,1.42,5.35,0.84,-0.07,3.05,2.23,5.42,2.84,1.3,-7.05
40,"gam","RFsites","ci.wt","minCR2","cr2","none",4.05,1.46,6.9,0.72,-0.43,4.1,3.26,7.55,2.81,1.02,-8.03
40,"glmnet","RFsites","ci.wt","minCR2","cr2","none",3.62,1.87,5.7,0.76,-0.99,2.31,3.11,7.71,2.23,0.94,-9.61
40,"rf","RFsites","ci.wt","minCR2","cr2","none",3.74,1.26,6.41,0.76,-0.37,1.88,3.09,6.22,3.65,0.78,-8.35
40,"svm","RFsites","ci.wt","minCR2","cr2","none",3.67,1.19,6.06,0.79,-0.98,2.16,3.3,7.86,2.47,0.1,-8.05
41,"gam","RFsites","ci.wt","minCR3","cr2","none",4.81,2.68,7.37,0.71,-0.24,4,3.47,8.59,2.82,1.52,-8.25
41,"glmnet","RFsites","ci.wt","minCR3","cr2","none",3.69,1.79,6.25,0.76,-0.61,3.51,2.85,7.72,1.95,1.35,-8.37
41,"rf","RFsites","ci.wt","minCR3","cr2","none",3.4,1.2,6.32,0.77,-0.17,1.91,3.24,6,3.65,0.94,-7.79
41,"svm","RFsites","ci.wt","minCR3","cr2","none",3.1,1.3,5.91,0.81,-0.45,2.47,2.87,7.42,3.06,0.52,-7.35
42,"gam","RFsites","ci.wt","minCR4","cr2","none",4.27,2.2,9.43,0.62,1.6,4,3.11,7.6,5.02,2.52,-5.09
42,"glmnet","RFsites","ci.wt","minCR4","cr2","none",4.28,2.16,8.43,0.71,-0.07,4,2.76,9.5,2.93,2.35,-9.43
42,"rf","RFsites","ci.wt","minCR4","cr2","none",4,1.96,6.43,0.73,0,2.47,3.27,6.72,4.38,1.3,-8.82
42,"svm","RFsites","ci.wt","minCR4","cr2","none",3.58,2.04,5.75,0.81,-0.49,3.01,3.58,7.71,1.04,1.51,-6.97
43,"gam","RFsites","CR","minCR2","cr2","none",4.29,2.88,7.2,0.7,-0.04,4,3.85,9.37,2.72,1.88,-8.01
43,"glmnet","RFsites","CR","minCR2","cr2","none",4.5,2.41,6.66,0.75,-0.55,3.81,4.43,7.36,1.82,1.9,-9.14
43,"rf","RFsites","CR","minCR2","cr2","none",3.58,1.34,6.34,0.76,-0.34,1.64,3.03,6.4,3.62,0.84,-8.33
